number,contents
73021,아 등기 기한 본 등기 절차 이행 을 구하 소 있 어 당초 경유 되   가등 기가 채권 담보 목적 하   것 라 하  지라도 대물 변제 완결 의사 표시 하   으로써 담보 목적 물   소유권 을 취득 하 었 다   
204251,공공 기관 경영 평가 성과급 기획 재 정부 장관 경영 실적 평가 결과 따르 아 지급 되 고 있 으며 공공 기관 운영   저   항 경영 실적 평가 결과 따르   조치 경영 평가 단의 구성   운영 등 여 필요 하   사항 을 대통령령 정하 도록 하 고 있 다   
199147,금융 실명 거래 비밀 보장   대통령령   대표자 개인 실지 명의 만 을 실명 보 도록 되 어 있 다   
194952,병 회사 보험 자가 보험자 대위 법리 따르 아 취득 하   을 회 사의 을 회사 보험자   직접적   구상권 을 회사 보험자 행사 하   있 다   
83680,명의 신탁자 명의 수탁자 계약 명의 신탁 약정 을 맺 고 명의 신탁 약정 있 다는 사실 을 알  지 못하 소유자 사이 부동산   매매 계약 을 체결 하   매매 계약 따르 아 명의 수탁자 부동산 완전 하   소유권 을 취득 하 게 되  다   
107625,원고 피고 선박 을 원고 선단 편입 시키 어 원고 동일 조건 입어 하 고 원고 모든 행정적   업무 처리 책임 을 지 기로 하 선박 편입 계약 을 체결 하 었 다   
100643,금원 을 대여 하   채권자 영수증 을 발행 교부 하 지 않 채 채권 차용 증서 등 원인 증서 소지 하 고 있 다는 사실 이례 속하  다   
73091,명의 신탁자 계약 건물 입주 하 고 있 여 명의 수탁자 건물 명도 하   없 다   
72940,관 세포 탈품 구입 자금 조로 금원 을 대여 하   것 불법 원인 급여 되 어 반환 을 하   없 다   
205254,토지 소유자 지적 불 부합 지정 리 추진 위원회 구성 하 고 총회 타인 토지 점유 하   부분 감정 지가 의하 여 상호 청산 하 기로 하 내용 규약 을 의결 하 었 다   
74957,조합원 일정 하   요 건하 조합 탈퇴 하 거나 합의 해산 하   있 지만 일반적   계약 해제 원리 따르 아 조합 계약 을 해지 하   없 다   
